location_name,location_description,location_db,location_address,location_bit,location_data_type,location_group
defl_v,Deflector Voltage [kV],82,16,,real,Deflector
fpa_ac,FPA Anode Current,82,20,,real,RF
fpa_av,FPA Anode Voltage,82,24,,real,RF
fpa_gfb,FPA Grid Feedback,82,28,,real,RF
fpa_sfb,FPA Screen Feedback,82,32,,real,RF
fpa_ain,FPA Analog In Temp,82,36,,real,RF
fpa_aout,FPA Analog Out Temp,82,40,,real,RF
fpa_aflow,FPA Analog Flow,82,44,,real,RF
fpa_in,FPA Water In [C],82,48,,real,Cooling
fpa_out,FPA Water Out [C],82,52,,real,Cooling
fpa_fwd,FPA Fwd,82,56,,real,RF
fpa_pwr,FPA Power,82,60,,real,RF
fpa_rfl,FPA Rfl,82,64,,real,RF
fpa_flow,FPA Water Flow [L/min],82,68,,real,Cooling
rp_pos,Radial Probe Position [mm],82,92,,real,Cyclo
rf_eff,RF Efficiency,82,96,,real,RF
is_ac,IS Arc Current,82,100,,real,Source
is_av,IS Arc Voltage,82,104,,real,Source
is_fc,IS Filament Current [A],82,108,,real,Source
t1cx,Extraction Steering 1 X [A],82,112,,real,Extraction
t1cy,Extraction Steering 1 Y [A],82,116,,real,Extraction
t2cx,Extraction Steering 2 X [A],82,120,,real,Extraction
t2cy,Extraction Steering 2 Y [A],82,124,,real,Extraction
q1c,Extraction Quad 1 [A],82,144,,real,Extraction
q2c,Extraction Quad 2 [A],82,148,,real,Extraction
ccps,Compensation Coil PS [A],82,160,,real,Coil
hc13,Harmonic Coil 1-3 PS [A],82,168,,real,Coil
hc24,Harmonic Coil 2-4 PS [A],82,172,,real,Coil
mcps,Main Coil PS [A],82,180,,real,Coil
vdee_1,Vdee 1,82,184,,real,RF
vdee_2,Vdee 2,82,188,,real,RF
is_pos,IS Puller Distance [mm],82,192,,real,Source
penn1,Penning 1,82,200,,real,Vacuum
penn2,Penning 2,82,204,,real,Vacuum
pir_cyclo,Pirani Cyclo,82,208,,real,Vacuum
pir_odp,Pirani ODP,82,212,,real,Vacuum
pir_is,Pirani Ion Source,82,216,,real,Vacuum
